us-uc-irvine	49922	15722	1	University of California-Irvine	Irvine
us-ucla	49403	15203	1	University of California-Los Angeles	Los Angeles
us-uconn	43712	21044	1	University of Connecticut	Storrs
us-uc-santa-cruz	50205	16005	1	University of California-Santa Cruz	Santa Cruz
us-ucsb	50614	16414	1	University of California-Santa Barbara	Santa Barbara
us-ucsd	50958	16758	1	University of California-San Diego	La Jolla
us-uic	29884	14338	1	University of Illinois Chicago	Chicago
us-uiuc	35124	16004	1	University of Illinois Urbana-Champaign	Champaign
us-umass-amherst	40449	17772	1	University of Massachusetts-Amherst	Amherst
us-umass-boston	38125	15908	1	University of Massachusetts-Boston	Boston
us-unc	41203	8994	1	University of North Carolina at Chapel Hill	Chapel Hill
us-unr	27720	9578	1	University of Nevada-Reno	Reno
us-upenn	68686	68686	2	University of Pennsylvania	Philadelphia
us-usc	72097	72097	2	University of Southern California	Los Angeles
us-utah	30860	9620	1	University of Utah	Salt Lake City
us-ut-austin	44908	11688	1	The University of Texas at Austin	Austin
us-utsa	22051	9011	1	The University of Texas at San Antonio	San Antonio
us-uva	59512	21803	1	University of Virginia-Main Campus	Charlottesville
us-uw	43209	12973	1	University of Washington-Seattle Campus	Seattle
us-vanderbilt	67498	67498	2	Vanderbilt University	Nashville
us-vermont	45502	19058	1	University of Vermont	Burlington
us-virginia-tech	37764	15948	1	Virginia Polytechnic Institute and State University	Blacksburg
us-wake-forest	67642	67642	2	Wake Forest University	Winston-Salem
us-washu	65790	65790	2	Washington University in St Louis	St. Louis
us-william-mary	51038	25914	1	William & Mary	Williamsburg
us-wisconsin	42103	11603	1	University of Wisconsin-Madison	Madison
us-wpi	60965	60965	2	Worcester Polytechnic Institute	Worcester
us-wyoming	24178	7768	1	University of Wyoming	Laramie
us-yale	67250	67250	2	Yale University	New Haven
us-ohio-state	40022	13244	1	Ohio State University-Main Campus	Columbus
us-uc-riverside	49806	15606	1	University of California-Riverside	Riverside
us-uc-merced	49823	15623	1	University of California-Merced	Merced
